tipo,codigo,tipoPergunta,obrigatoria,outro,descricao,bloco,pergunta,,,
A,9,,,,Planet Bike,,12,,,
A,10,,,,Souza Bikes,,12,,,
A,11,,,,Vulsan Cicles,,12,,,
P,13,alternativa,true ,true ,Casa de shows e eventos,A,,,,
A,1,,,,Abbey Road Pub,,13,,,
A,2,,,,Clube Olimpico,,13,,,
A,3,,,,Empório Santa Maria,,13,,,
A,4,,,,Garden,,13,,,
A,5,,,,Kaballah,,13,,,
A,6,,,,Taj Mahal,,13,,,
P,14,alternativa,true ,true ,Centro de Formação de Condutores (CFC) - Auto Escola,A,,,,
A,1,,,,Avenida,,14,,,
A,2,,,,Capital,,14,,,
A,3,,,,Conforto,,14,,,
A,4,,,,Mais,,14,,,
A,5,,,,Panorama,,14,,,
A,6,,,,Pioneiro,,14,,,
A,7,,,,Pra Frente Brasil,,14,,,
A,8,,,,Rumo Certo,,14,,,
A,9,,,,Semaforo,,14,,,
A,10,,,,Silveira,,14,,,
A,11,,,,Toledo,,14,,,
P,15,alternativa,true ,true ,Clínica veterinária,A,,,,
A,1,,,,A Fazenda,,15,,,
A,2,,,,Aquaripesca,,15,,,
A,3,,,,Aquarivet,,15,,,
A,4,,,,Aukmia,,15,,,
A,5,,,,Bicho Bom,,15,,,
A,6,,,,Bio Gordo,,15,,,
A,7,,,,Bom Pastor,,15,,,
A,8,,,,Bom pastor,,15,,,
A,9,,,,Cia Tecnica,,15,,,
A,10,,,,DuManu,,15,,,
A,11,,,,Fertigão,,15,,,
A,12,,,,Patas de Ouro,,15,,,
A,13,,,,Pet chow,,15,,,
A,14,,,,Primato,,15,,,
A,15,,,,PUC,,15,,,
A,16,,,,São Francisco ,,15,,,
A,17,,,,Scherer,,15,,,
A,18,,,,Tolevet,,15,,,
P,16,alternativa,true ,true ,Comércio de Peças Usadas,A,,,,
A,1,,,,Auto Contato,,16,,,
A,2,,,,CPU,,16,,,
A,3,,,,Euro Peças Comercio de Peças Usadas  ,,16,,,
A,4,,,,Ferrari,,16,,,
A,5,,,,KR,,16,,,
A,6,,,,Mega,,16,,,
A,7,,,,Triunfo,,16,,,
P,17,alternativa,true ,true ,Comércio de Veículos Usados,A,,,,
A,1,,,,Airton Veiculos,,17,,,
A,2,,,,Arcenio,,17,,,
A,3,,,,Atalaia,,17,,,
A,4,,,,Auto Mais,,17,,,
A,5,,,,Barrão Car,,17,,,
A,6,,,,Ben Hur Car,,17,,,
A,7,,,,Brasil Car,,17,,,
A,8,,,,Central,,17,,,
A,9,,,,Cipauto,,17,,,
A,10,,,,Cometa,,17,,,
A,11,,,,Fipal,,17,,,
A,12,,,,Global,,17,,,
A,13,,,,Ipanema,,17,,,
A,14,,,,JJ Veiculos,,17,,,
A,15,,,,Malacarne Veículos,,17,,,
A,16,,,,Maripa,,17,,,
A,17,,,,Milena,,17,,,
A,18,,,,Mileniunn ,,17,,,
A,19,,,,Montana,,17,,,
A,20,,,,Piramide,,17,,,
A,21,,,,Rebivel,,17,,,
A,22,,,,Seberi,,17,,,
P,18,alternativa,true ,true ,Comércio e Serviço de Refrigeração,A,,,,
A,1,,,,Brasfrio,,18,,,
A,2,,,,Castol,,18,,,
A,3,,,,Climatol,,18,,,
A,4,,,,Dutra,,18,,,
A,5,,,,Fique Frio,,18,,,
A,6,,,,Flaviomar,,18,,,
A,7,,,,Fornari,,18,,,
A,8,,,,Geletric,,18,,,
A,9,,,,Gelotec,,18,,,
A,10,,,,Goldfrio,,18,,,
A,11,,,,Panorama,,18,,,
A,12,,,,Pratica Refrigeração,,18,,,
A,13,,,,Refripar,,18,,,
A,14,,,,Tec Frio,,18,,,
A,15,,,,Thermotec,,18,,,
A,16,,,,Toledo Climatização,,18,,,
P,19,alternativa,true ,true ,Concessionária de Veículos (Novos),A,,,,
A,1,,,,BMW,,19,,,
A,2,,,,Bonsai Motors ,,19,,,
A,3,,,,Brizza Motors,,19,,,
A,4,,,,Chevrolet,,19,,,
A,5,,,,Chiapetti,,19,,,
A,6,,,,Cipauto,,19,,,
A,7,,,,Cometa,,19,,,
A,8,,,,Enjin Veículos,,19,,,
A,9,,,,Euro Import,,19,,,
A,10,,,,Fiat,,19,,,
A,11,,,,Fipal,,19,,,
A,12,,,,Ford,,19,,,
A,13,,,,Herbicar,,19,,,
A,14,,,,Honda,,19,,,
A,15,,,,Hyundai,,19,,,
A,16,,,,Jeep,,19,,,
A,17,,,,Mitsubishi,,19,,,
A,18,,,,Nissan,,19,,,
A,19,,,,Opel,,19,,,
A,20,,,,Open Veículos,,19,,,
A,21,,,,Pirâmide Veículos,,19,,,
A,22,,,,Renault,,19,,,
A,23,,,,Slavieiro,,19,,,
A,24,,,,Toyota,,19,,,
A,25,,,,Volksvagem,,19,,,
A,26,,,,Zeni Motors,,19,,,
P,20,alternativa,true ,true ,Construtora,A,,,,
A,1,,,,ADM,,20,,,
A,2,,,,AWR,,20,,,
A,3,,,,Bettega,,20,,,
A,4,,,,Casa Nova,,20,,,
A,5,,,,Cidade Bella,,20,,,
A,6,,,,D.A.D.,,20,,,
A,7,,,,Dal Bosco,,20,,,
A,8,,,,EHE,,20,,,
A,9,,,,Kaiser,,20,,,
A,10,,,,Merano,,20,,,
A,11,,,,Mercante,,20,,,
A,12,,,,Pedrini,,20,,,
A,13,,,,Rawi,,20,,,
A,14,,,,RG Construções,,20,,,
A,15,,,,Sol de Maio,,20,,,
A,16,,,,Tetris,,20,,,
A,17,,,,TR3S,,20,,,
P,21,alternativa,true ,true ,Corretora de Seguros,A,,,,
A,1,,,,Bradesco,,21,,,
A,2,,,,Caixa Econômica,,21,,,
A,3,,,,Contraseg,,21,,,
A,4,,,,Dullius,,21,,,
A,5,,,,Maciel,,21,,,
A,6,,,,Nobre,,21,,,
A,7,,,,Rocha,,21,,,
A,8,,,,RS,,21,,,
A,9,,,,Sicoob,,21,,,
A,10,,,,Sicredi,,21,,,
A,11,,,,Valdir,,21,,,
A,12,,,,VIP,,21,,,
P,22,alternativa,true ,true ,Decoração e Acabamentos,A,,,,
A,1,,,,Angel,,22,,,
A,2,,,,Arte Gesso,,22,,,
A,3,,,,Cadeiras Rosa,,22,,,
A,4,,,,Capricho,,22,,,
A,5,,,,Casa 4,,22,,,
A,6,,,,Con-Art,,22,,,
A,7,,,,Conforto,,22,,,
A,8,,,,Constrular,,22,,,
A,9,,,,Decampos,,22,,,
A,10,,,,Faenza,,22,,,
A,11,,,,Fumacol,,22,,,
A,12,,,,Imperial Gesso,,22,,,
A,13,,,,Lu Decorações,,22,,,
A,14,,,,Miriam Rios,,22,,,
A,15,,,,Neo Reveste,,22,,,
A,16,,,,Nova Decorações,,22,,,
A,17,,,,Porto Bello,,22,,,
A,18,,,,Prisma Design,,22,,,
A,19,,,,Van Gogh,,22,,,
A,20,,,,Via Brasil,,22,,,
A,21,,,,Via Casa,,22,,,
A,22,,,,VN Gesso,,22,,,
A,23,,,,Zacar Decor,,22,,,
P,23,alternativa,true ,true ,Despachante,A,,,,
A,1,,,,Camargo,,23,,,
A,2,,,,Ceccatto,,23,,,
A,3,,,,Nelci,,23,,,
A,4,,,,Odair Donin,,23,,,
A,5,,,,Panorama,,23,,,
A,6,,,,Pioneiro,,23,,,
A,7,,,,Pra Frente Brasil,,23,,,
A,8,,,,Santos,,23,,,
A,9,,,,Silveira,,23,,,
A,10,,,,Toledo,,23,,,
A,11,,,,Vado,,23,,,
P,24,alternativa,true ,true ,Disk Gás,A,,,,
A,1,,,,Batista Gás e Água,,24,,,
A,2,,,,Brasil Gás,,24,,,
A,3,,,,Bruno Gás e Água,,24,,,
A,4,,,,Clair Gás e Água,,24,,,
A,5,,,,Fernando Gás,,24,,,
A,6,,,,Liquigás,,24,,,
A,7,,,,Liquigas do Europa,,24,,,
A,8,,,,Marítima Gás e Água,,24,,,
A,9,,,,Pioneiro Gás,,24,,,
A,10,,,,Poletto Gás e Água,,24,,,
A,11,,,,Supergasbras,,24,,,
A,12,,,,Toledo Gás,,24,,,
A,13,,,,Ultragaz,,24,,,
A,14,,,,Viagás,,24,,,
A,15,,,,Viável Comercio de Gás,,24,,,
P,25,alternativa,true ,true ,Distribuidora de Bebidas,A,,,,
A,1,,,,Bier House,,25,,,
A,2,,,,Canário,,25,,,
A,3,,,,Cobezal,,25,,,
A,4,,,,Framiely,,25,,,
A,5,,,,Japones,,25,,,
A,6,,,,JM,,25,,,
A,7,,,,Kailer,,25,,,
A,8,,,,K,,25,,,
A,9,,,,Master,,25,,,
A,10,,,,Passarinho,,25,,,
A,11,,,,Sapezal,,25,,,
A,12,,,,Sol e Mar,,25,,,
A,13,,,,Tolemar,,25,,,
P,26,alternativa,true ,true ,Eletrônica - Assistencia Técnica/Consertos,A,,,,
A,1,,,,Amplitec,,26,,,
A,2,,,,Bedin Sat,,26,,,
A,3,,,,Carlos,,26,,,
A,4,,,,Cittadin,,26,,,
A,5,,,,Eletronica Rios,,26,,,
A,6,,,,Herzog,,26,,,
A,7,,,,Ingá,,26,,,
A,8,,,,Mercadão da Eletrônica,,26,,,
A,9,,,,Omega Sat,,26,,,
A,10,,,,Palmersat,,26,,,
A,11,,,,Pardaltech,,26,,,
A,12,,,,Prisma,,26,,,
A,13,,,,Saturno,,26,,,
A,14,,,,TV-Ar,,26,,,
A,15,,,,Universal,,26,,,
P,27,alternativa,true ,true ,Eletrônica – Revenda e instalações,A,,,,
A,1,,,,Amplitec,,27,,,
A,2,,,,Bedin Sat,,27,,,
A,3,,,,Carlos,,27,,,
A,4,,,,Cittadin,,27,,,
A,5,,,,Ingá,,27,,,
A,6,,,,Mercadão da Eletrônica  ,,27,,,
A,7,,,,Omega Sat,,27,,,
A,8,,,,Palmersat,,27,,,
A,9,,,,Pardaltech,,27,,,
A,10,,,,Prisma,,27,,,
A,11,,,,Saturno,,27,,,
A,12,,,,TV-Ar,,27,,,
A,13,,,,Universal,,27,,,
P,28,alternativa,true ,true ,Emissora de TV Regional,A,,,,
A,1,,,,Band,,28,,,
A,2,,,,Catve,,28,,,
A,3,,,,Globo,,28,,,
A,4,,,,Record,,28,,,
A,5,,,,Rede Massa,,28,,,
A,6,,,,RIC,,28,,,
A,7,,,,RPC,,28,,,
A,8,,,,SBT,,28,,,
A,9,,,,Taroba,,28,,,
A,10,,,,TV naipi,,28,,,
P,29,alternativa,true ,true ,Empresa de Comunicação Visual,A,,,,
A,1,,,,Axis,,29,,,
A,2,,,,Darci Comunicação,,29,,,
A,3,,,,Eximia,,29,,,
A,4,,,,Goldesign,,29,,,
A,5,,,,Mozart,,29,,,
A,6,,,,OFF7,,29,,,
A,7,,,,Placa Mídia,,29,,,
A,8,,,,Printex,,29,,,
A,9,,,,Studio 17,,29,,,
A,10,,,,Toleplac,,29,,,
A,11,,,,Versa Digital,,29,,,
P,30,alternativa,true ,true ,Empresa de Desenvolvimento de Sistemas / Software,A,,,,
A,1,,,,Conceitto,,30,,,
A,2,,,,Conta Azul,,30,,,
A,3,,,,Data Work,,30,,,
A,4,,,,Decod Sistemas,,30,,,
A,5,,,,German Tech,,30,,,
A,6,,,,Inside,,30,,,
A,7,,,,Junsoft,,30,,,
A,8,,,,Lógica Informática,,30,,,
A,9,,,,Maxicon,,30,,,
A,10,,,,Monitor,,30,,,
A,11,,,,Orion Software,,30,,,
A,12,,,,Tecno Aliance,,30,,,
A,13,,,,Tecsmart,,30,,,
A,14,,,,Virtual,,30,,,
P,31,alternativa,true ,true ,Empresa de Organização de Formaturas/Eventos,A,,,,
A,1,,,,A1 Formaturas,,31,,,
A,2,,,,Bell'Eventus,,31,,,
A,3,,,,Ever Formaturas,,31,,,
A,4,,,,Excelência Eventos,,31,,,
A,5,,,,Inove Formaturas,,31,,,
P,32,alternativa,true ,true ,Equipamentos de Segurança e Incêndio,A,,,,
A,1,,,,Ativa,,32,,,
A,2,,,,Bompel,,32,,,
A,3,,,,Callai,,32,,,
A,4,,,,Cazanatto,,32,,,
A,5,,,,Extinfogo,,32,,,
A,6,,,,Extinsema,,32,,,
A,7,,,,Extinstocco,,32,,,
A,8,,,,Extintol,,32,,,
A,9,,,,Extinwelter,,32,,,
A,10,,,,Matrix,,32,,,
A,11,,,,Nacional,,32,,,
A,12,,,,Oeste,,32,,,
A,13,,,,Prev Incendio,,32,,,
A,14,,,,Pró-Luvas,,32,,,
A,15,,,,Toledo,,32,,,
A,16,,,,VET - vistoriadora de extintores,,32,,,
P,33,alternativa,true ,true ,Equipamentos para avicultura / suinocultura,A,,,,
A,1,,,,Avicasp,,33,,,
A,2,,,,Avimac,,33,,,
A,3,,,,Avitec,,33,,,
A,4,,,,Avitol,,33,,,
A,5,,,,Suitec,,33,,,
A,6,,,,Tecnoaves,,33,,,
P,34,alternativa,true ,true ,Escola / Colégio,A,,,,
A,1,,,,Agricola,,34,,,
A,2,,,,Alfa,,34,,,
A,3,,,,Amelio Dal Bosco,,34,,,
A,4,,,,Anita Garibaldi,,34,,,
A,5,,,,Antonio José Reis,,34,,,
A,6,,,,Attilio Fontana,,34,,,
A,7,,,,Augustinho Donin,,34,,,
