tipo,codigo,tipoPergunta,obrigatoria,outro,descricao,bloco,pergunta,,,
A,13,,,,Solar,,49,,,
A,14,,,,Villa Verde,,49,,,
P,50,alternativa,true ,true ,Imobiliária,A,,,,
A,1,,,,Ativa,,50,,,
A,2,,,,Bella Casa,,50,,,
A,3,,,,Bettega,,50,,,
A,4,,,,Calany,,50,,,
A,5,,,,DAX,,50,,,
A,6,,,,Elo,,50,,,
A,7,,,,Giareta,,50,,,
A,8,,,,Habitabem,,50,,,
A,9,,,,Inovar,,50,,,
A,10,,,,Lago azul,,50,,,
A,11,,,,Lokatell,,50,,,
A,12,,,,Mafra,,50,,,
A,13,,,,Maximize,,50,,,
A,14,,,,Modelo,,50,,,
P,51,alternativa,true ,true ,Impemeabilização,A,,,,
A,1,,,,Basica impermeabilização,,51,,,
A,2,,,,Conceito sul impermeabilizações,,51,,,
A,3,,,,Petry lar,,51,,,
A,4,,,,Protegi impermeabilizações,,51,,,
A,5,,,,Toledo Impermeabilizações,,51,,,
P,52,alternativa,true ,true ,Jornal Impresso,A,,,,
A,1,,,,Anuncie Negócios,,52,,,
A,2,,,,Correio Mais,,52,,,
A,3,,,,Face da Notícia,,52,,,
A,4,,,,Folha da Região,,52,,,
A,5,,,,Gazeta de Toledo,,52,,,
A,6,,,,Jornal do Oeste,,52,,,
A,7,,,,O Presente,,52,,,
A,8,,,,Viver Toledo,,52,,,
P,53,alternativa,true ,true ,Laboratório de Análises Clinicas,A,,,,
A,1,,,,Analisare,,53,,,
A,2,,,,Anchietta,,53,,,
A,3,,,,Bio Analise,,53,,,
A,4,,,,Bio Clinic,,53,,,
A,5,,,,Labclinic ,,53,,,
A,6,,,,Labor Center,,53,,,
A,7,,,,Neolab,,53,,,
A,8,,,,Toledo,,53,,,
P,54,alternativa,true ,true ,Lanchonete e Fast Food,A,,,,
A,1,,,,América Burger,,54,,,
A,2,,,,Bob's,,54,,,
A,3,,,,Bom Pastel,,54,,,
A,4,,,,Bom Sabor,,54,,,
A,5,,,,Casa da Fumaça,,54,,,
A,6,,,,Croasonho,,54,,,
A,7,,,,Dog King,,54,,,
A,8,,,,Dom Bolinha,,54,,,
A,9,,,,Drakkar Burger e Steak,,54,,,
A,10,,,,Duwo,,54,,,
A,11,,,,Fioravante,,54,,,
A,12,,,,Gáucho Lanches,,54,,,
A,13,,,,Golden Chopp,,54,,,
A,14,,,,Good Snack,,54,,,
A,15,,,,Hamburgueria Vitória,,54,,,
A,16,,,,Iscool Burgues,,54,,,
A,17,,,,Jhony's,,54,,,
A,18,,,,La Mafia,,54,,,
A,19,,,,Nobre Confraria,,54,,,
A,20,,,,O Plutão,,54,,,
A,21,,,,Quero Suco,,54,,,
A,22,,,,Subway,,54,,,
A,23,,,,X Picanha Buzão,,54,,,
P,55,alternativa,true ,true ,Livraria e papelaria,A,,,,
A,1,,,,Arco-iris,,55,,,
A,2,,,,Barão,,55,,,
A,3,,,,Carlu,,55,,,
A,4,,,,Cometa,,55,,,
A,5,,,,Dazu,,55,,,
A,6,,,,Ebenezer,,55,,,
A,7,,,,Frapel,,55,,,
A,8,,,,Geração,,55,,,
A,9,,,,Ideal,,55,,,
A,10,,,,Jacks,,55,,,
A,11,,,,Livrapel,,55,,,
A,12,,,,Mais,,55,,,
A,13,,,,Omega,,55,,,
A,14,,,,Panambi,,55,,,
A,15,,,,Quality,,55,,,
A,16,,,,Saber,,55,,,
A,17,,,,Sorti,,55,,,
P,56,alternativa,true ,true ,Locação de Trajes (Roupas),A,,,,
A,1,,,,Alfaiataria Modelo,,56,,,
A,2,,,,Bela Noiva,,56,,,
A,3,,,,Belíssima,,56,,,
A,4,,,,Cleo Noivas,,56,,,
A,5,,,,Dona Charmosa,,56,,,
A,6,,,,Espaço da Noiva Locações,,56,,,
A,7,,,,Fiore Atelier,,56,,,
A,8,,,,Gran Finale,,56,,,
A,9,,,,Mada Modas,,56,,,
A,10,,,,Maximus Atelier,,56,,,
A,11,,,,Raffer,,56,,,
A,12,,,,Rosana,,56,,,
A,13,,,,Shirlei Locações,,56,,,
A,14,,,,Stoffhauss,,56,,,
P,57,alternativa,true ,true ,Locadora de Máquinas,A,,,,
A,1,,,,Becker Locação,,57,,,
A,2,,,,Casa do Construtor,,57,,,
A,3,,,,Santo Expedido,,57,,,
A,4,,,,São Jorge,,57,,,
P,58,alternativa,true ,true  ,Loja de Armarinho e Aviamentos,A,,,,  
A,1,,,,Agulha de Ouro,,58,,,
A,2,,,,Barbarella,,58,,,
A,3,,,,Carlu,,58,,,
A,4,,,,Casa do Bandô,,58,,,
A,5,,,,Dariane,,58,,,
A,6,,,,Estoque,,58,,,
A,7,,,,Jaqueane,,58,,,
A,8,,,,Ocla,,58,,,
A,9,,,,Zelo Armarinhos,,58,,,
P,59,alternativa,true ,true ,Loja de brinquedos,B ,,,,
A,1,,,,Big 1,99,,59,,,
A,2,,,,Brinquedos Larissa,,59,,,
A,3,,,,Brinquedos Toledo,,59,,,
A,4,,,,Dinâmica,,59,,,
A,5,,,,Kaketha,,59,,,
A,6,,,,Loja do Baiano,,59,,,
A,7,,,,Loja Keller,,59,,,
A,8,,,,Lu Decorações e Brinquedos,,59,,,
A,9,,,,Shopping 1,99,,59,,,
P,60,alternativa,true ,true ,Loja de Calçados,B,,,,
A,1,,,,Arezzo,,60,,,
A,2,,,,Bompel,,60,,,
A,3,,,,Calce Leve,,60,,,
A,4,,,,Calcebel,,60,,,
A,5,,,,Clube do Pé,,60,,,
A,6,,,,Cristo Rei,,60,,,
A,7,,,,D'dorini,,60,,,
A,8,,,,Denise Caçados,,60,,,
P,61,alternativa,true ,true ,Loja de Cama, Mesa e Banho,B,,,,
A,1,,,,Casas Brasil,,61,,,
A,2,,,,Havan,,61,,,
A,3,,,,Kelly,,61,,,
A,4,,,,LM,,61,,,
A,5,,,,Mirian Rios,,61,,,
A,6,,,,Odagui,,61,,,
A,7,,,,Pernambucanas,,61,,,
A,8,,,,Romera,,61,,,
P,62,alternativa,true ,true ,Loja de Conveniência,B,,,,
A,1,,,,Armazem do João,,62,,,
A,2,,,,Bagdad,,62,,,
A,3,,,,Brothers,,62,,,
A,4,,,,Brothers Beer,,62,,,
A,5,,,,Favo de Mel,,62,,,
A,6,,,,Kawi,,62,,,
A,7,,,,O Barão,,62,,,
A,8,,,,Ticão,,62,,,
A,9,,,,Zero Grau,,62,,,
A,10,,,,Zero Hora,62,,,
P,63,alternativa,true ,true ,Loja de cosméticos e perfumaria,B,,,,
A,1,,,,Agua de Cheiro,,63,,,
A,2,,,,Amil,,63,,,
A,3,,,,Amplo,,63,,,
A,4,,,,Bonita,,63,,,
A,5,,,,Contato,,63,,,
A,6,,,,Contem 1G,,63,,,
A,7,,,,Elegance,,63,,,
A,8,,,,Empório da Beleza,,63,,,
A,9,,,,Enbelezze,,63,,,
A,10,,,,Essenza,,63,,,
A,11,,,,Esthetic Store,,63,,,
A,12,,,,Hinode,,63,,,
A,13,,,,Jequiti,,63,,,
A,14,,,,Laqua di Fiori,,63,,,
A,15,,,,Merli,,63,,,
A,16,,,,Natura,,63,,,
A,17,,,,O Boticario,,63,,,
A,18,,,,Racco,,63,,,
A,19,,,,Spa da Pele,,63,,,
A,20,,,,Spaço da Beleza,,63,,,
A,21,,,,Suporte,,63,,,
A,22,,,,Top,,63,,,
A,23,,,,Trade,,63,,,
A,24,,,,Via da Beleza,,63,,,
A,25,,,,Vizeme,,63,,,
P,64,alternativa,true ,true ,Loja de eletrodomésticos,B,,,,
A,1,,,,Americanas,,64,,,
A,2,,,,Casas Bahia,,64,,,
A,3,,,,Colombo,,64,,,
A,4,,,,Darom,,64,,,
A,5,,,,Dudony,,64,,,
A,6,,,,Havan,,64,,,
A,7,,,,HC Eletromoveis,,64,,,
P,65,alternativa,true ,true ,Loja de equipamento de informática,B,,,,
A,1,,,,Easy,,65,,,
A,2,,,,Ere,,65,,,
A,3,,,,Exacton,,65,,,
A,4,,,,Macrosoft,,65,,,
A,5,,,,Mercadão da Eletrônica,,65,,,
A,6,,,,Mercadão da Informática - MI,,65,,,
A,7,,,,Nasc,,65,,,
A,8,,,,RS,,65,,,
A,9,,,,Virtual,,65,,,
P,66,alternativa,true ,true ,Loja de materiais de construção,B,,,,
A,1,,,,Alternativa,,66,,,
A,2,,,,Antunes,,66,,,
A,3,,,,Avenida,,66,,,
A,4,,,,Bigolin,,66,,,
A,5,,,,Cardoso,,66,,,
A,6,,,,Coelh,,66,,,
A,7,,,,Construcerto,,66,,,
A,8,,,,Constrular,,66,,,
A,9,,,,Construpan,,66,,,
A,10,,,,Fabinho,,66,,,
A,11,,,,Forma Designer,,66,,,
P,67,alternativa,true ,true ,Loja de Materiais de Pesca,B,,,,
A,1,,,,Aiko,,67,,,
A,2,,,,Aquaripesca,,67,,,
A,3,,,,Boi Gordo,,67,,,
A,4,,,,Caça e Pesca,,67,,,
A,5,,,,Planeta Pesca esportiva,,67,,,
A,6,,,,Sul Pesca,,67,,,
P,68,alternativa,true ,true ,Loja de Material elétrico,B,,,,
A,1,,,,Bigolin,,68,,,
A,2,,,,Campestre,,68,,,
A,3,,,,Clarear,,68,,,
A,4,,,,Constrular,,68,,,
A,5,,,,D&D,,68,,,
A,6,,,,DZ Eletrica,,68,,,
A,7,,,,Eletro Alfa,,68,,,
A,8,,,,Eletroluz,,68,,,
A,9,,,,Faxtemaq,,68,,,
A,10,,,,Fical,,68,,,
A,11,,,,Fumacol,,68,,,
A,12,,,,Ligue Fio ,,68,,,
A,13,,,,Maxiluz,,68,,,
P,69,alternativa,true ,true ,Loja de Material Esportivo,B,,,,
A,1,,,,AIko Pesca Esportiva,,69,,,
A,2,,,,Jaclani,,69,,,
A,3,,,,Lince Esportes,,69,,,
A,4,,,,Palotina Esportes,,69,,,
A,5,,,,Panambi Sports,,69,,,
A,6,,,,Paris Esportes,,69,,,
A,7,,,,Planeta Esporte e Pesca,,69,,,
A,8,,,,Profi Esportes,,69,,,
A,9,,,,RC Esportes,,69,,,
A,10,,,,Sportland,,69,,,
A,11,,,,Tennis Express,,69,,,
P,70,alternativa,true ,true ,Loja de Moda Infantil,B,,,,
A,1,,,,Anabell,,70,,,
A,2,,,,Anjo Meu,,70,,,
A,3,,,,Baby Center,,70,,,
A,4,,,,Batatinhas,,70,,,
A,5,,,,Criança e Cia,,70,,,
P,71,alternativa,true ,true ,Loja de Móveis,B,,,,
A,1,,,,Angel,,71,,,
A,2,,,,Art Projetos,,71,,,
A,3,,,,Avenida,,71,,,
A,4,,,,Cadeiras Rosa,,71,,,
A,5,,,,Carvalho,,71,,,
A,6,,,,Casas Bahia,,71,,,
A,7,,,,Colombo,,71,,,
A,8,,,,Conforto,,71,,,
A,9,,,,Dacasa,,71,,,
A,10,,,,Darom,,71,,,
P,72,alternativa,true ,true ,Loja de Presentes,B,,,,
A,1,,,,AM Presentes,,72,,,
A,2,,,,Bela America Presentes,,72,,,
A,3,,,,Bianca Presentes,,72,,,
A,4,,,,Big 1,99 ,,72,,,
A,5,,,,Biullas Presentes,,72,,,
A,6,,,,Destak Presentes,,72,,,
A,7,,,,Dinamica,,72,,,
P,73,alternativa,true ,true ,Loja de Roupas,B,,,,
A,1,,,,Above and Beyond,,73,,,
A,2,,,,Anabel,,73,,,
A,3,,,,Anabell Homem,,73,,,
A,4,,,,Antonio Jose,,73,,,
A,5,,,,Arco Iris,,73,,,
A,6,,,,Baratik,,73,,,
A,7,,,,Casas Brasil,,73,,,
A,8,,,,Convicção Modas,,73,,,
A,9,,,,Dimazzo,,73,,,
A,10,,,,Duquess,,73,,,
A,11,,,,Espaço da Moda,,73,,,
P,74,alternativa,true ,true ,Loja de roupas Intimas,B,,,,
A,1,,,,Bella Mulher,,74,,,
A,2,,,,Contato Intimo,,74,,,
A,3,,,,Corpo Intimo,,74,,,
A,4,,,,Dinanda,,74,,,
A,5,,,,Duzani,,74,,,
A,6,,,,Exotica,,74,,,
A,7,,,,Havan,,74,,,
A,8,,,,Inspiração,,74,,,
A,9,,,,Karicias,,74,,,
A,10,,,,LM,,74,,,
A,11,,,,Lody,,74,,,
A,12,,,,Miragem,,74,,,
A,13,,,,Pernambucanas,,74,,,
A,14,,,,Wandek,,74,,,
P,75,alternativa,true ,true ,Loja de Tecidos,B,,,,
A,1,,,,Anabell,,75,,,
A,2,,,,Brasil,,75,,,
A,3,,,,Casa do Bandô,,75,,,
A,4,,,,Estoque Tecidos,,75,,,
A,5,,,,LM,,75,,,
A,6,,,,Maximus Tecidos Finos,,75,,,
A,7,,,,Pernambucanas,,75,,,
A,8,,,,Stoffhauss,,75,,,
A,9,,,,Zacar,,75,,,
P,76,alternativa,true ,true ,76 Loja de Tintas,B,,,,
A,1,,,,Aquarela,,76,,,
A,2,,,,Barão,,76,,,
A,3,,,,Bigolin,,76,,,
A,4,,,,Casa Cor,,76,,,
A,5,,,,Casa das Tintas,,76,,,
A,6,,,,Central,,76,,,
A,7,,,,Foz Tintas,,76,,,
A,8,,,,Laborde,,76,,,
A,9,,,,Popular,,76,,,
A,10,,,,Ronil Tintas,,76,,,
A,11,,,,São João,,76,,,
A,12,,,,Toledo,,76,,,
P,77,alternativa,true ,true ,Loja para Pecuária Leiteira,B,,,,
A,1,,,,AGP Group,,77,,,
A,2,,,,Avioeste,,77,,,
A,3,,,,Casa do Leite,,77,,,
A,4,,,,Clube do Leite,,77,,,
A,5,,,,Coamo,,77,,,
A,6,,,,Cooperlac,,77,,,
A,7,,,,Primato,,77,,,
A,8,,,,Pro Ordenha,,77,,,
P,78,alternativa,true ,true ,Lotérica,B,,,,
A,1,,,,Gralha Azul,,78,,,
A,2,,,,JT,,78,,,
A,3,,,,Nipo,,78,,,
A,4,,,,Oeste,,78,,,
A,5,,,,Panorama,,78,,,
A,6,,,,Parigot,,78,,,
A,7,,,,Pioneira,,78,,,
A,8,,,,Poli,,78,,,
A,9,,,,Portal,,78,,,
A,10,,,,Prochinau,,78,,,
A,11,,,,Toledo,,78,,,
A,12,,,,Tombola,,78,,,
A,13,,,,União,,78,,,
P,79,alternativa,true ,true ,Máquinas e Ferramentas Profissionais,B,,,,
A,1,,,,Abrastol,,79,,,
A,2,,,,Amil,,79,,,
A,3,,,,Back Motosserras,,79,,,
A,4,,,,Bocato Casa dos Parafusos,,79,,,
A,5,,,,Ferragens Oeste,,79,,,
A,6,,,,JS,,79,,,
A,7,,,,Nellato,,79,,,
A,8,,,,Paraná Soldas,,79,,,
A,9,,,,Rei Parafusos e Ferramentas,,79,,,
A,10,,,,Solutec,,79,,,
A,11,,,,Tangará,,79,,,
A,12,,,,Viptools,,79,,,
P,80,alternativa,true ,true ,Marmoraria,B,,,,
A,1,,,,Art Pedra,,80,,,
A,2,,,,Berlanda,,80,,,
A,3,,,,Dípedra,,80,,,
A,4,,,,Granitol,,80,,,
A,5,,,,Martol,,80,,,
A,6,,,,Modelo,,80,,,
A,7,,,,Nascimento,,80,,,
A,8,,,,Pedra Bella,,80,,,
A,9,,,,São Gabriel,,80,,,
A,10,,,,Selva de Pedras,,80,,,
A,11,,,,Toledo,,80,,,
A,12,,,,Tolemarmores,,80,,,
A,13,,,,Valle Marmores e Granitos,,80,,,
A,14,,,,Vendramini,,80,,,
A,15,,,,Vila Velha,,80,,,
P,81,alternativa,true ,true ,Mercearia,B,,,,
A,1,,,,Dal Bosco,,81,,,
A,2,,,,De Paula Mercearia,,81,,,
A,3,,,,Favo de Mel,,81,,,
A,4,,,,Ferreira Mercearia,,81,,,
A,5,,,,Laranja Doce,,81,,,
A,6,,,,Lisse Mercearia,,81,,,
A,7,,,,Nacional,,81,,,
A,8,,,,Primavera,,81,,,
A,9,,,,Roma,,81,,,
A,10,,,,Salles Mercearia,,81,,,
P,82,alternativa,true ,true ,Metalúrgica,B,,,,
A,1,,,,Back,,82,,,
A,2,,,,Bertoti,,82,,,
A,3,,,,Beton Steel,,82,,,
A,4,,,,Bortolotto,,82,,,
A,5,,,,Cezário,,82,,,
A,6,,,,Conformetal,,82,,,
A,7,,,,Eletal,,82,,,
A,8,,,,Ferroeste,,82,,,
A,9,,,,Funibras,,82,,,
A,10,,,,Funimetal,,82,,,
A,11,,,,Funitol,,82,,,
A,12,,,,Jardim,,82,,,
A,13,,,,JR,,82,,,
A,14,,,,Malumetal,,82,,,
A,15,,,,Metatol,,82,,,
A,16,,,,Metocil,,82,,,
A,17,,,,Multiforma,,82,,,
A,18,,,,Multimetal,,82,,,
A,19,,,,RRD,,82,,,
A,20,,,,Tres Fronteiras,,82,,,
A,21,,,,União,,82,,,
P,83,alternativa,true ,true ,Monitoramento e Alarme,B,,,,
A,1,,,,Aguiaseg,,83,,,
A,2,,,,Astec,,83,,,
A,3,,,,Atlanta,,83,,,
A,4,,,,Camtec,,83,,,
A,5,,,,Central,,83,,,
A,6,,,,Inviolavel,,83,,,
A,7,,,,Linger,,83,,,
A,8,,,,Master Vision,,83,,,
A,9,,,,OmegaSat,,83,,,
A,10,,,,Onseg,,83,,,
A,11,,,,Sanar,,83,,,
A,12,,,,Viaseg,,83,,,
P,84,alternativa,true  ,true ,Motel,B,,,,
A,1,,,,Bughaville,,84,,,
A,2,,,,Eclipse,,84,,,
A,3,,,,Frenesi,,84,,,
A,4,,,,Momenthus,,84,,,
A,5,,,,Overnight,,84,,,
A,6,,,,Tantra,,84,,,
P,85,alternativa,true ,true ,Oficina mecânica,B,,,,
A,1,,,,Bambusca,,85,,,
A,2,,,,Barrão,,85,,,
A,3,,,,Belenzier,,85,,,
A,4,,,,Bianchi,,85,,,
A,5,,,,Bragagnolo,,85,,,
A,6,,,,Brasicar,,85,,,
A,7,,,,Canoinhas,,85,,,
A,8,,,,Cido,,85,,,
A,9,,,,Confiança,,85,,,
A,10,,,,De Marchi,,85,,,
A,11,,,,Fabio Car,,85,,,
A,12,,,,Ferrari,,85,,,
A,13,,,,JM,,85,,,
A,14,,,,Lubricar,,85,,,
A,15,,,,Luizinho,,85,,,
A,16,,,,Malacarne,,85,,,
A,17,,,,Maldaner,,85,,,
A,18,,,,Mecanica do Irmão,,85,,,
A,19,,,,Menguele,,85,,,
A,20,,,,Merlini,,85,,,
A,21,,,,MJ Cars,,85,,,
A,22,,,,MM,,85,,,
A,23,,,,Nilcar,,85,,,
A,24,,,,Oficina do Prego,,85,,,
A,25,,,,Parigot,,85,,,
A,26,,,,Roda Viva,,85,,,
A,27,,,,Scenicar,,85,,,
A,28,,,,Tolecar,,85,,,
A,29,,,,anzella,,85,,,
A,30,,,,Wandecar,,85,,,
P,86,alternativa ,true ,true ,Ótica,B,,,,
A,1,,,,Barão,,86,,,
A,2,,,,Contato,,86,,,
A,3,,,,Cristal,,86,,,
A,4,,,,Curitiba,,86,,,
A,5,,,,Diniz,,86,,,
A,6,,,,Fátima,,86,,,
A,7,,,,Friedrich,,86,,,
A,8,,,,Globo,,86,,,
A,9,,,,Gouveia,,86,,,
A,10,,,,Orient,,86,,,
A,11,,,,Precisão,,86,,,
A,12,,,,Prisma,,86,,,
A,13,,,,Regina,,86,,,
A,14,,,,Rubi,,86,,,
A,15,,,,Scherer,,86,,,
A,16,,,,Visão,,86,,,
P,87,alternativa,true ,true ,Panificadora,B,,,,
A,1,,,,Água na Boca,,87,,,
A,2,,,,Aliança,,87,,,
A,3,,,,Armazém do Pão,,87,,,
A,4,,,,Bolo e Cia,,87,,,
A,5,,,,Carolle,,87,,,
A,6,,,,Central,,87,,,
A,7,,,,Cia do Pão,,87,,,
A,8,,,,Da Casa,,87,,,
A,9,,,,Das Irmãs,,87,,,
A,10,,,,Donna Cuca,,87,,,
A,11,,,,Empório do Pão,,87,,,
A,12,,,,Estação do Pão,,87,,,
A,13,,,,Expresso Panificadora,,87,,,
A,14,,,,Fabrica do Pão,,87,,,
A,15,,,,Favo de Mel,,87,,,
A,16,,,,Ideal,,87,,,
A,17,,,,Império a Panificação,,87,,,
A,18,,,,Ki Pão,,87,,,
A,19,,,,Ki-Sabor,,87,,,
A,20,,,,La Salle,,87,,,
A,21,,,,Nelci's,,87,,,
A,22,,,,Novo Pão,,87,,,
A,23,,,,Ofra,,87,,,
A,24,,,,Pão de Mel,,87,,,
A,25,,,,Q. Delicia,,87,,,
A,26,,,,Quincas,,87,,,
A,27,,,,Realeza,,87,,,
A,28,,,,Rei do Pão,,87,,,
A,29,,,,São Vicente de Paula,,87,,,
A,30,,,,Talismã,,87,,,
A,31,,,,Toledo,,87,,,
A,32,,,,Vó Nana,,87,,,
P,88,alternativa,true ,true ,Pet Shop,B,,,,
A,1,,,,4 Patas,,88,,,
A,2,,,,Agroshop,,88,,,
A,3,,,,Any’ Dogs Pet Center – Pet Shop,,88,,,
A,4,,,,Aquarivet,,88,,,
A,5,,,,Aukmia,,88,,,
A,6,,,,Beleza Animal,,88,,,
A,7,,,,Bom Pastor,,88,,,
A,8,,,,Dog Clean Pet Shop,,88,,,
A,9,,,,Du Cão Pet Shop,,88,,,
A,10,,,,Dumanu,,88,,,
A,11,,,,Fabi Mercantil,,88,,,
A,12,,,,Miau Auau Pet Shop Agropecuária,,88,,,
A,13,,,,Patas de Ouro,,88,,,
A,14,,,,Pet Chow Pet Shop,,88,,,
A,15,,,,Tolevet,,88,,,
A,16,,,,Triunpet,,88,,,
A,17,,,,Vert Dog’s,,88,,,
A,18,,,,Vitoria Pet Shop,,88,,,
P,89,alternativa,true ,true ,Piscinas,B,,,,
A,1,,,,Acquafibra,,89,,,
A,2,,,,Atlântica Piscinas,,89,,,
A,3,,,,Igui,,89,,,
A,4,,,,Laser Piscinas,,89,,,
A,5,,,,Loja das Piscinas,,89,,,
A,6,,,,Mania Piscinas,,89,,,
P,90,alternativa,true ,true ,Pizzaria,B,,,,
A,1,,,,Don Aureo,,90,,,
A,2,,,,Donatellus,,90,,,
A,3,,,,Firenza,,90,,,
A,4,,,,GM,,90,,,
A,5,,,,Golden,,90,,,
A,6,,,,Isadora,,90,,,
A,7,,,,Jow's,,90,,,
A,8,,,,La Tarrantela,,90,,,
A,9,,,,La Tavolla,,90,,,
A,10,,,,Magnata,,90,,,
A,11,,,,Martignoni,,90,,,
A,12,,,,Mercattu,,90,,,
A,13,,,,Millano,,90,,,
A,14,,,,Mineiro Pizzaria,,90,,,
A,15,,,,Mister,,90,,,
A,16,,,,Muttali,,90,,,
A,17,,,,Napoli,,90,,,
A,18,,,,Nino,,90,,,
A,19,,,,Nostra Pizza,,90,,,
A,20,,,,Passarela,,90,,,
A,21,,,,Pizza Chopp,,90,,,
A,22,,,,Qualitta,,90,,,
A,23,,,,Tattaglia,,90,,,
A,24,,,,Uomo Pizza,,90,,,
A,25,,,,Via Toscana,,90,,,
P,91,alternativa,true ,true ,Posto de combustível,B,,,,
A,1,,,,Avenida,,91,,,
A,2,,,,Back,,91,,,
A,3,,,,Blindagem,,91,,,
A,4,,,,Copauto,,91,,,
A,5,,,,Corujão,,91,,,
A,6,,,,Ecke,,91,,,
A,7,,,,Estradão,,91,,,
A,8,,,,Giachini,,91,,,
A,9,,,,Idaza,,91,,,
A,10,,,,Ipiranga,,91,,,
A,11,,,,Javali,,91,,,
A,12,,,,Jow’s,,91,,,
A,13,,,,Kawi,,91,,,
A,14,,,,Muraro,,91,,,
A,15,,,,Panambi,,91,,,
A,16,,,,Pioneiro,,91,,,
A,17,,,,Shell,,91,,,
A,18,,,,Stop,,91,,,
A,19,,,,Toleverde,,91,,,
A,20,,,,Top Posto do Lago,,91,,,
A,21,,,,Transyara,,91,,,
P ,92,alternativa,true ,true ,Posto de Lavagem,B,,,,
A,1,,,,Blindagem,,92,,,
A,2,,,,Brilho Car,,92,,,
A,3,,,,Coppini,,92,,,
A,4,,,,Fiapera,,92,,,
A,5,,,,Lavauto,,92,,,
A,6,,,,Lavecar,,92,,,
A,7,,,,Lorenzetti,,92,,,
A,8,,,,Saara,,92,,,
A,9,,,,Sombra,,92,,,
A,10,,,,Transyara,,92,,,
P,93,alternativa,true ,true ,Produção de Áudio e Vídeo,B,,,,
A,1,,,,Alexandre Andriolli Filmes,,93,,,
A,2,,,,Click Digital,,93,,,
A,3,,,,Evolution Produtora,,93,,,
A,4,,,,GH Filmes,,93,,,
A,5,,,,Giovani Produções,,93,,,
A,6,,,,Gustavo Hugo Filmes,,93,,,
A,7,,,,Mirabolante Filmes,,93,,,
A,8,,,,Natureza Produtora,,93,,,
A,9,,,,Toka Produções,,93,,,
A,10,,,,Videoart Produtora,,93,,,
A,11,,,,Vittore Produtora,,93,,,
P,94,alternativa,true ,true ,Produtos Naturais,B,,,,
A,1,,,,A Despensa,,94,,,
A,2,,,,Annis,,94,,,
A,3,,,,Celero Nacional,,94,,,
A,4,,,,Central Nutri,,94,,,
A,5,,,,Excelsa,,94,,,
A,6,,,,Grãos da Terra,,94,,,
A,7,,,,Martinhaki,,94,,,
A,8,,,,Nutri Vida,,94,,,
A,9,,,,O Celeiro,,94,,,
A,10,,,,Pro-Saúde,,94,,,
A,11,,,,Tolenutri,,94,,,
A,12,,,,Vida Natural,,94,,,
A,13,,,,Vita saude,,94,,,
P,95,alternativa,true ,true ,Rádio AM,B,,,,
A,1,,,,Guaçu,,95,,,
A,2,,,,Integração,,95,,,
A,3,,,,União,,95,,,
P,96,alternativa,true ,true ,Radio FM,B,,,,
A,1,,,,Capital,,96,,,
A,2,,,,Educativa,,96,,,
A,3,,,,Jovem Pan,,96,,,
A,4,,,,Mundial,,96,,,
A,5,,,,Vale Verde,,96,,,
P,97,alternativa,true ,true ,Recapagem de Pneus,B,,,,
A,1,,,,Dpaschoal,,97,,,
A,2,,,,FM Pneus,,97,,,
A,3,,,,Santo André,,97,,,
A,4,,,,Toledo,,97,,,
P,98,alternativa,true ,true ,Relojoaria e Joalheria,B,,,,
A,1,,,,Bela Joias,,98,,,
A,2,,,,Binotto,,98,,,
A,3,,,,Brunne Joias,,98,,,
A,4,,,,Citizem,,98,,,
A,5,,,,Cristal,,98,,,
A,6,,,,Darci,,98,,,
A,7,,,,Fátima,,98,,,
A,8,,,,Freiedrich,,98,,,
A,9,,,,Gal Joias,,98,,,
A,10,,,,Gouveia,,98,,,
A,11,,,,Marina,,98,,,
A,12,,,,Neide Jóias,,98,,,
A,13,,,,Oriente,,98,,,
A,14,,,,Perin,,98,,,
A,15,,,,Rubi,,98,,,
A,16,,,,Savare,,98,,,
A,17,,,,Scherer,,98,,,
A,18,,,,Tic-tac,,98,,,
A,19,,,,Visão,,98,,,
P,99,alternativa,true ,true ,Restaurante ,B,,,,
A,1,,,,Alemão,,99,,,
A,2,,,,Cachacaria,,99,,,
A,3,,,,Casa da Maria,,99,,,
A,4,,,,Casa do Pescado,,99,,,
A,5,,,,Centrão,,99,,,
A,6,,,,Chinatown,,99,,,
A,7,,,,Dezem,,99,,,
A,8,,,,Filezão,,99,,,
A,9,,,,Fogo de Chão,,99,,,
A,10,,,,Golden,,99,,,
A,11,,,,Jhonys,,99,,,
A,12,,,,Lunitti,,99,,,
A,13,,,,Milano,,99,,,
A,14,,,,Pantanal,,99,,,
A,15,,,,Português,,99,,,
A,16,,,,Pró Saude,,99,,,
A,17,,,,Quatro Irmãos,,99,,,
A,18,,,,Tio Zé,,99,,,
A,19,,,,Trevo,,99,,,
A,20,,,,Vitória,,99,,,
P,100,alternativa,true ,true ,Revenda de autopeças,B,,,,
A,1,,,,Auto Contato,,100,,,
A,2,,,,Avenida,,100,,,
A,3,,,,Belenzier,,100,,,
A,4,,,,Carepar,,100,,,
A,5,,,,Carlão,,100,,,
A,6,,,,Casa do Automóvel,,100,,,
A,7,,,,Dipagril,,100,,,
A,8,,,,Dipauto,,100,,,
A,9,,,,Dipema,,100,,,
A,10,,,,DKV,,100,,,
A,11,,,,DPL,,100,,,
A,12,,,,Euro,,100,,,
